## ------------------------------------------------------------------------- ##
## TEMPLATE DATA FILE FOR iSCAM                                              ##
## TIPS: -use '#' as comment character for the data file                     ##
##       -use '#' on all blank lines (windows compatible)                    ##
##       -sex: 0=asexual, 1=female, 2=male                                   ##  
##                                                                           ##
##                                                                           ##
## TEMPLATE is based on Flack Lake Trout (ADMB catage example)               ##
## ------------------------------------------------------------------------- ##
##
##
##
## ------------------------------------------------------------------------- ##
## MODEL DIMENSIONS                                                          ##
## ------------------------------------------------------------------------- ##
1        # -number of areas            (narea)
1        # -number of groups or stocks (ngroup)
1        # -number of sexes            (nsex)
1951     # -first year of data         (syr)
2012     # -last year of data          (nyr)
2        # -age of youngest age class  (sage)
10       # -age of plus group          (nage)
5        # -number of gears            (ngear)
##
## ------------------------------------------------------------------------- ##
## Allocation for each gear in (ngear), use 0 for survey gears.              ##
## ------------------------------------------------------------------------- ##
0.083 0.442 0.474 0 0
##
##
## ------------------------------------------------------------------------- ##
##
## ------------------------------------------------------------------------- ##
## Age-schedule and population parameters                                    ##
## ------------------------------------------------------------------------- ##
## Need one value for each area and sex.
##
27.0                    # -asymptotic length (linf)  
0.48                    # -brody growth coefficient (k)
0.0                     # -theoretical age at zero length (to)
4.5e-6                  # -scaler in length-weight allometry
3.1270                  # -power parameter in length-weight allometry
3.055                   # -age at 50% maturity (approx with log(3.0)/k)
0.05                    # -std at 50% maturity (CV ~ 0.1)
0                       # -(if n_MAT==1) use the following vector for maturity
0                       #mat vec
##
## ------------------------------------------------------------------------- ##
## TIME SERIES DATA                                                          ##
## ------------------------------------------------------------------------- ##
## Observed catch from all gears, areas, and sex                             ##
## sex: 1=female, 2=male, 0=asexual
## Type of catch: legend                                                     ##
##               1 = catch in weight                                         ##
##               2 = catch in numbers                                        ##
##               3 = catch in spawn (roe)                                    ##
## 
## n_ct_obs
   140
## Year gear area group sex type value
   1992    82.71     5    1    1     0    1.1666      1
   1993    90.197    5    1    1     0    1.1666      1
   1994    67.138    5    1    1     0    1.1666      1
   1995    64.898    5    1    1     0    1.1666      1
   1996    71.325    5    1    1     0    1.1666      1
   1997    58.225    5    1    1     0    1.1666      1
   1998    74.616    5    1    1     0    1.1666      1
   1999    85.094    5    1    1     0    1.1666      1
   2000    72.688    5    1    1     0    1.1666      1
   2001    100.248   5    1    1     0    1.1666      1
   2002    117.862   5    1    1     0    1.1666      1
   2003    141.651   5    1    1     0    1.1666      1
   2004    114.351   5    1    1     0    1.1666      1
   2005    95.643    5    1    1     0    1.1666      1
   2006    46.752    5    1    1     0    1.1666      1
   2007    35.863    5    1    1     0    1.1666      1
   2008    32.103    5    1    1     0    1.1666      1
   2009    49.909    5    1    1     0    1.1666      1
   2010    47.48     5    1    1     0    1.1666      1
   2011    79.07     5    1    1     0    1.1666      1
   2012    49.124    5    1    1     0    1.1666      1
##
## ------------------------------------------------------------------------- ##
## AGE COMPOSITION DATA (ROW YEAR, COL=AGE) Ragged object                    ##
## ------------------------------------------------------------------------- ##
 3             # Number of gears with age-comps int(na_gears)
56 41 40       # Number of rows in the matrix   ivector(na_gears)
## ivector(na_gears) of youngest age-class
2  2  2
## ivector(na_gears) of oldest age-class + group
10 10 10
## Effective sample size from iterative re-weighting (nscaler)
207.795 293.148 135.169
## year gear area group sex | data columns (numbers or proportions)
   1951 1    1    1     0     326   4413  2371  556   110   27 8  2  0
   1952 1    1    1     0     1008  4997  2262  608   119   24 6  1  0
   1953 1    1    1     0     900   6177  3380  447   119   18 6  0  0
   1954 1    1    1     0     200   6011  4845  1520  432   124   27 3  0
   1955 1    1    1     0     233   2562  2065  355   57 6  0  0  0
   1956 1    1    1     0     704   3798  3502  2801  627   106   28 6  3
   1957 1    1    1     0     98 4344  1639  782   374   44 5  1  2
